Elements,Random,Hard,Easy
27800,11449,9852,9634
27900,11037,9619,9472
28000,11089,9511,9414
28100,11065,9545,9462
28200,11092,9557,9474
28300,11095,10060,9777
28400,11553,9982,9764
28500,11380,9762,9688
28600,11589,9772,9651
28700,11297,9847,9623
28800,11238,9771,9596
28900,11574,10075,9963
29000,11835,10110,9707
29100,11569,9947,9767
29200,11456,9815,10324
29300,11523,9888,9786
29400,11483,9962,9801
29500,11860,10363,10382
29600,13544,10505,10364
29700,11895,10712,10564
29800,12453,10773,10497
29900,12237,10719,10483
30000,12568,10859,10916
30100,12549,10846,10343
30200,12024,10195,10094
30300,11854,10227,10004
30400,11778,10159,10039
30500,11818,10187,10319
30600,12314,10676,10450
30700,12191,10446,10178
30800,11986,10453,10160
30900,11941,10291,10179
31000,11989,10517,10600
31100,12651,11005,10484
31200,12390,10554,10331
31300,12103,10548,10270
31400,12179,10487,10291
31500,12147,10538,10762
31600,12791,10935,10613
31700,12406,10748,10454
31800,12344,10637,10427
31900,12277,10639,10429
32000,12325,10696,10776
32100,12906,11106,10744
32200,12717,10822,10760
32300,12659,10805,10595
32400,12677,10832,10587
32500,12463,10877,11071
32600,12965,11238,10906
32700,12691,10953,10650
32800,12826,10910,10771
32900,12724,11007,10810
33000,12836,11182,11637
33100,13346,11487,11135
33200,13109,11334,11074
33300,13161,11423,11262
33400,13219,11318,11176
33500,13241,11868,11480
33600,13527,11476,11208
33700,13299,11542,11212
33800,13213,11498,11225
33900,13295,11540,11816
34000,13280,11976,11889
34100,13797,11976,11485
34200,13564,11616,11444
34300,13391,11610,11405
34400,13420,11886,11434
34500,13544,12103,11727
34600,13802,12028,11627
34700,13654,11751,11576
34800,13626,11850,11544
34900,13700,11872,11649
35000,13868,12457,12232
35100,14563,12400,12134
35200,14267,12412,12137
35300,14304,12437,12235
35400,14488,12593,12602
35500,15267,13135,12887
35600,15139,13064,12794
35700,15028,12950,12844
35800,15069,13011,13011
35900,15168,13119,13091
36000,16015,13803,13550
36100,15685,13566,13386
36200,15669,13535,13528
36300,15842,13594,13689
36400,15917,13962,14401
36500,16687,14172,14218
36600,16367,14085,14127
36700,16416,14113,14281
36800,16558,14178,15099
36900,17300,14572,14718
37000,16688,14324,14485
37100,16687,14329,14569
37200,16757,14538,15282
37300,17249,14747,14748
37400,16972,14575,14731
37500,16845,14606,14786
37600,16829,14771,15492
37700,17353,14733,14825
37800,17052,14957,14820
37900,17022,14594,14786
38000,17020,15138,15375
38100,17453,14805,14958
38200,17286,14906,15077
38300,17141,14807,14893
38400,17186,15259,15600
38500,17594,14948,15196
38600,17313,14770,15035
38700,17240,14843,15046
38800,17256,15292,15713
38900,17701,15133,15166
39000,17536,14897,15285
39100,17695,15077,15119
39200,17669,15774,15745
39300,17804,15188,15305
39400,17596,15125,15217
39500,17521,15078,15227
39600,17567,15716,15885
39700,17971,15266,15482
39800,17778,15140,15354
39900,17656,15365,15483
40000,17825,16111,16000
40100,18123,15363,15556
40200,17917,15223,15461
40300,17832,15302,15509
40400,17876,15957,16120
40500,18161,15420,15642
40600,18031,15394,15619
40700,17978,15407,15846
40800,18317,16005,16168
40900,18252,15642,15714
41000,18085,15567,15714
41100,18090,15500,15747
41200,18147,16282,16344
41300,18553,15741,15877
41400,18265,15753,15826
41500,18250,15653,16175
41600,18746,16338,16331
41700,18462,15793,16006
41800,18358,15816,15925
41900,18392,15747,15990
42000,18629,16604,16435
42100,18660,16005,16156
42200,18521,15948,16031
42300,18596,15959,16351
42400,18952,16697,16564
42500,18790,16077,16242
42600,18656,15977,16116
42700,18633,16037,16167
42800,18930,16667,16681
42900,18956,16239,16417
43000,18788,16088,16293
43100,18782,16357,16873
43200,19485,16930,16628
43300,19178,16290,16374
43400,19048,16288,16556
43500,19031,16369,16502
43600,19515,16967,16760
43700,19282,16470,16632
43800,19128,16346,16582
43900,19188,16607,16769
44000,19945,17138,17003
44100,19452,16597,16689
44200,19286,16566,16665
44300,19269,16494,16679
44400,20652,17052,17032
44500,19497,16661,16805
44600,19388,16660,16802
44700,19935,17516,17800
44800,20315,17110,17121
44900,19618,16747,16853
45000,19597,16741,16940
45100,19587,16817,16992
45200,20467,17310,17161
45300,19915,16851,17042
45400,19674,16849,17277
45500,19844,16885,17153
45600,20821,17284,17346
45700,19945,17058,17102
45800,19741,16897,17791
45900,20510,17452,17291
46000,20761,17417,17494
46100,20070,17146,17260
46200,20351,17370,17246
46300,20880,17458,17742
46400,21377,17249,17488
46500,20144,17217,17303
46600,19980,17183,17255
46700,20816,17866,17547
46800,20279,17340,17360
46900,20120,17616,17661
47000,20342,17370,17501
47100,21039,17815,17722
47200,20406,17398,17479
47300,20292,17351,18378
47400,21143,17776,17774
47500,20502,17506,17674
47600,20403,17471,18218
47700,21070,17739,17793
47800,20578,17480,17688
47900,20495,17536,18007
48000,21465,17984,17901
48100,20638,17579,17722
48200,20601,17667,18053
48300,21492,18038,18264
48400,20886,17716,17950
48500,20735,17687,18225
48600,21423,18097,18096
48700,20863,17784,18000
48800,20845,17853,18355
48900,21452,18218,18136
49000,20975,17897,18226
49100,21301,17915,18581
49200,21615,18293,18286
49300,21132,18039,18183
49400,21136,17932,18534
49500,21539,18323,18310
49600,21238,18142,18181
49700,21132,18073,18709
49800,21938,18482,18440
49900,21355,18230,18358
50000,21862,18203,18945
50100,21808,18505,18646
50200,21945,18350,18429
50300,21479,18302,19194
50400,21776,18524,18966
50500,21740,18474,18439
50600,21469,18394,19077
50700,21990,18719,18646
50800,21611,18514,18589
50900,21578,18396,19620
51000,22063,18686,18746
51100,21761,18725,18993
51200,21974,18644,19559
51300,22213,18903,18730
51400,21745,18579,18702
51500,21747,18569,19642
51600,22226,18923,18932
51700,21967,18709,18779
51800,21823,19011,19808
51900,22449,18842,18927
52000,22035,18861,18840
52100,21985,18820,19777
52200,22495,19030,19047
